SpecName,accGenus,accSpecies,PalmTribe,PalmSubfamily,Climbing,Acaulescence,Errect,UnderstoreyCanopy,StemSolitary,MaxStemHeight_m,MaxStemDia_cm,StemArmed,LeavesArmed,MaxLeafNumber,Max_Blade_Length_m,Max_Rachis_Length_m,Max_Petiole_length_m,AverageFruitLength_cm,MinFruitLength_cm,MaxFruitLength_cm,AverageFruitWidth_cm,MinFruitWidth_cm,MaxFruitWidth_cm,FruitSizeBinary,FruitShape,FruitColor,FruitTexture,FruitColorChange,FruitNotes,Extra reference / note
Geonoma poiteauana,Geonoma,poiteauana,Geonomateae,Arecoideae,0,0,1,understorey,,0.1,2.1,0,0,,,0.795,0.267,0.90,0.79,1,0.72,0.64,0.8,small,,black-purple,,,,Kew herbaria
Geonoma sanmartinensis,Geonoma,sanmartinensis,Geonomateae,Arecoideae,0,0,1,,,,,0,0,,,0.41,,,,,,,,,,,,,,
Geonoma santanderensis,Geonoma,santanderensis,Geonomateae,Arecoideae,0,0,1,understorey,0,1.5,1,0,0,12,0.25,0.25,,0.85,0.8,0.99,0.6,0.46,0.72,small,,black,striatal-warty,,,
Geonoma schizocarpa,Geonoma,schizocarpa,Geonomateae,Arecoideae,0,0,1,,,,2.8,0,0,,,0.92,,1.4,1.23,1.55,0.89,0.86,0.93,small,,,,,,
Geonoma schottiana,Geonoma,schottiana,Geonomateae,Arecoideae,0,0,1,understorey,2,4,4,0,0,24,0.85,1.18,,0.93,0.74,1.34,0.825,0.59,1.06,small,,black,,,,
Geonoma scoparia,Geonoma,scoparia,Geonomateae,Arecoideae,0,0,1,understorey,1,3,1,0,0,19,0.695,0.34,,0.6,0.58,0.61,0.47,,,small,,,,,,
Geonoma simplicifrons,Geonoma,simplicifrons,Geonomateae,Arecoideae,0,0,1,understorey,2,3,1.5,0,0,8,0.88,0.45,,0.59,0.45,0.66,0.49,0.43,0.56,small,ovoid,,,,,
Geonoma spinescens,Geonoma,spinescens,Geonomateae,Arecoideae,0,0,1,understorey,2,2,1.5,0,0,13,0.81,0.41,,0.71,,,0.55,,,small,ovoid,,,,,
Geonoma stricta,Geonoma,stricta,Geonomateae,Arecoideae,0,0,1,understorey,2,5,5,0,0,17,1.34,0.76,,0.86,0.59,1.45,0.65,0.4,1,small,globose,"green, purple or black, maturing black",,1,,
Geonoma talamancana,Geonoma,talamancana,Geonomateae,Arecoideae,0,0,1,understorey,2,1.3,1.3,0,0,10,0.57,0.57,,0.73,0.63,0.83,0.52,0.45,0.58,small,,black,,,,Kew herbaria
Geonoma tenuissima,Geonoma,tenuissima,Geonomateae,Arecoideae,0,0,1,understorey,0,4,1,0,0,8,0.5,0.34,,0.53,0.46,0.6,0.48,0.41,0.55,small,globose,green; blue,,,,
Geonoma triandra,Geonoma,triandra,Geonomateae,Arecoideae,0,0,1,understorey,0,3,1,0,0,8,0.527,0.38,,0.69,0.6,0.74,0.55,0.48,0.61,small,ovoid,black to blue-blackish,minutely warty,,,
Geonoma triglochin,Geonoma,triglochin,Geonomateae,Arecoideae,0,0,1,canopy,1,8,5,0,0,25,2.1,1.6,,1.30,1,1.6,1.05,0.76,1.27,small,globose,purple or black,,,,
Geonoma trigona,Geonoma,trigona,Geonomateae,Arecoideae,0,0,1,understorey,1,3,3,0,0,7,0.41,0.32,,0.9,,,0.65,,,small,ovoid,,,,,
Geonoma umbraculiformis,Geonoma,umbraculiformis,Geonomateae,Arecoideae,0,0,1,understorey,1,2,2.5,0,0,27,1.5,1.2,,1.26,1.2,1.3,1.03,0.97,1.1,small,ovoid,,,,,
Geonoma undata,Geonoma,undata,Geonomateae,Arecoideae,0,0,1,canopy,1,15,10,0,0,20,3.79,2.65,,0.95,0.44,1.54,0.69,0.38,1.2,small,globose,bluish black,,,,
Geonoma venosa,Geonoma,venosa,Geonomateae,Arecoideae,0,0,1,,,,,0,0,,,0.275,0.135,0.81,,,0.72,,,small,,,,,,
Guihaia argyrata,Guihaia,argyrata,Trachycarpeae,Coryphoideae,0,2,2,understorey,0,0.5,5,0,0,14,1,1,,0.6,,,0.6,,,small,,blue-black,,,,
Guihaia grossifibrosa,Guihaia,grossifibrosa,Trachycarpeae,Coryphoideae,0,2,2,understorey,0,2.5,23,0,0,14,2.15,0.35,,1,,,1,,,small,globose,blue-black,,,,
Hedyscepe canterburyana,Hedyscepe,canterburyana,Areceae,Arecoideae,0,0,1,canopy,1,15,20,0,0,12,3,2.8,,4,3.8,4.2,2.75,2.6,2.9,large,ovoid,dull red,smooth,,,
Hemithrinax compacta,Hemithrinax,compacta,Cryosophileae,Coryphoideae,0,0,1,canopy,1,15,30,0,0,,1.7,1.2,,0.9,,,0.9,,,small,globose,white,,,,
Hemithrinax ekmaniana,Hemithrinax,ekmaniana,Cryosophileae,Coryphoideae,0,0,1,,1,,,0,0,,1.4,1.3,,,,,,,,,,yellow?,,,,palmpedia
Hemithrinax rivularis,Hemithrinax,rivularis,Cryosophileae,Coryphoideae,0,0,1,,1,,,0,0,,1.73,1.4,,,,,,,,,ovoid,white,,,,palmpedia
Heterospathe annectens,Heterospathe,annectens,Areceae,Arecoideae,0,0,1,canopy,1,12,,0,0,,1,1,,1.8,,,1.25,,,small,,red,,,,
Heterospathe arfakiana,Heterospathe,arfakiana,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,globose,,,,,
Heterospathe barfodii,Heterospathe,barfodii,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,1,,,1.00,,,small,,red,,,,palmweb
Heterospathe brevicaulis,Heterospathe,brevicaulis,Areceae,Arecoideae,0,0,1,understorey,1,0.5,8,0,0,8,2,1.9,0.97,0.8,,,0.6,,,small,,ripening yellow - red,,1,,
Heterospathe cagayanensis,Heterospathe,cagayanensis,Areceae,Arecoideae,0,0,1,canopy,0,6.5,10,0,0,,2.6,,0.58,0.8,,,0.6,,,small,,white turning orange-red,,,,Kew herbaria
Heterospathe califrons,Heterospathe,califrons,Areceae,Arecoideae,0,0,1,understorey,1,1.5,6,0,0,13,2,1.15,,1.6,,,0.7,,,small,,ripening yellow - red,,1,,
Heterospathe clemensiae,Heterospathe,clemensiae,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,globose,,,,,
Heterospathe compsoclada,Heterospathe,compsoclada,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,,,,,,
Heterospathe delicatula,Heterospathe,delicatula,Areceae,Arecoideae,0,1,0,understorey,0,0,,0,0,,,,,,,,,,,,,pink,,,,palmpedia
Heterospathe dransfieldii,Heterospathe,dransfieldii,Areceae,Arecoideae,0,0,1,understorey,0,4,1.5,0,0,7,1,,,0.7,,,0.3,,,small,,young green,,,,Kew herbaria
Heterospathe elata,Heterospathe,elata,Areceae,Arecoideae,0,0,1,canopy,1,13,8.2,0,0,11,3,2.5,,1.125,1,1.25,,,,small,globose,green ripening red,,,,"palmpedia, Kew herbaria"
Heterospathe elegans,Heterospathe,elegans,Areceae,Arecoideae,0,2,2,understorey,2,2.5,5,0,0,12,1.4,1.4,,1.25,1,1.5,0.9,0.8,1,small,elongate,bright red or orange,,,,
Heterospathe elmeri,Heterospathe,elmeri,Areceae,Arecoideae,0,0,1,canopy,1,8,,0,0,,1,,,1.2,,,0.6,,,small,,,,,,
Heterospathe glabra,Heterospathe,glabra,Areceae,Arecoideae,0,0,1,,,,,0,0,10,1.4,1.4,,,,,,,,,ovoid,,,,,
Heterospathe glauca,Heterospathe,glauca,Areceae,Arecoideae,0,0,1,,1,,,0,0,,,,,,,,,,,,,,,,,
Heterospathe intermedia,Heterospathe,intermedia,Areceae,Arecoideae,0,0,1,canopy,1,7,13,0,0,,2,,,1.1,,,0.7,,,small,,red,,,,palmpedia
Heterospathe kajewskii,Heterospathe,kajewskii,Areceae,Arecoideae,0,0,1,,,,11,0,0,,0.82,0.78,0.06,1.5,,,1.1,,,small,globose,,,,,
Heterospathe ledermanniana,Heterospathe,ledermanniana,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,ovoid,,,,,
Heterospathe lepidota,Heterospathe,lepidota,Areceae,Arecoideae,0,0,1,understorey,1,4,5,0,0,,1.8,,,1.6,1.5,1.7,1,,,small,,red,,,,
Heterospathe longipes,Heterospathe,longipes,Areceae,Arecoideae,0,0,1,understorey,,3.6,,0,0,,,,,2.5,,,2.5,,,small,ovoid,green?,,,,palmpedia
Heterospathe macgregorii,Heterospathe,macgregorii,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,globose,red,,,,palmpedia
Heterospathe minor,Heterospathe,minor,Areceae,Arecoideae,0,0,1,,,,5,0,0,,2,,,1.05,1,1.1,0.6,0.55,0.6,small,,orange red,,,,palmpedia
Heterospathe muelleriana,Heterospathe,muelleriana,Areceae,Arecoideae,0,0,1,canopy,1,9.5,10,0,0,7,3.5,2.8,0.75,0.5,,,0.5,,,small,globose,,,,,
Heterospathe negrosensis,Heterospathe,negrosensis,Areceae,Arecoideae,0,0,1,understorey,1,3,9,0,0,,2,,,1.05,1,1.1,0.6,,,small,globose,green to yellow and red,,,,palmpedia
Heterospathe obriensis,Heterospathe,obriensis,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,3.25,2.9,3.5,2.5,2.2,2.8,small,ovoid,,,,,
Heterospathe parviflora,Heterospathe,parviflora,Areceae,Arecoideae,0,0,1,,1,,15,0,0,,2.5,,,0.95,,,0.95,0.9,1,small,ovoid,red,,,,palmpedia
Heterospathe philippinensis,Heterospathe,philippinensis,Areceae,Arecoideae,0,0,1,understorey,2,5,3.5,0,0,,1.1,,0.5,1,,,0.7,,,small,elongate,bright yellow turning red,,,,Kew herbaria
Heterospathe phillipsii,Heterospathe,phillipsii,Areceae,Arecoideae,0,0,1,canopy,1,15,20,0,0,12,5,4.5,0.55,1.3,,,0.7,,,small,ovoid,red,"smoth, drying pebbled",,,
Heterospathe pilosa,Heterospathe,pilosa,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,ovoid,,,,,
Heterospathe porcata,Heterospathe,porcata,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,2,,,0.90,,,small,,red,,,,palmweb
Heterospathe pulchra,Heterospathe,pulchra,Areceae,Arecoideae,0,0,1,,1,,,0,0,10,2.5,,,0.9,,,0.8,,,small,ovoid,red,,,,
Heterospathe pullenii,Heterospathe,pullenii,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,,,,,,
Heterospathe ramulosa,Heterospathe,ramulosa,Areceae,Arecoideae,0,0,1,,,,0.6,0,0,,,,,,,,,,,,,,,,,
Heterospathe salomonensis,Heterospathe,salomonensis,Areceae,Arecoideae,0,0,1,,,,,0,0,,2,,,0.6,,,0.6,,,small,,,,,,
Heterospathe scitula,Heterospathe,scitula,Areceae,Arecoideae,0,0,1,understorey,2,3,1.5,0,0,8,0.54,,,0.8,,,0.6,,,small,,"white, ripening orange-tinged then glossy red",,,,
Heterospathe sensisi,Heterospathe,sensisi,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,1.225,1.2,1.25,0.55,0.5,0.55,small,ovoid,,,,,
Heterospathe sibuyanensis,Heterospathe,sibuyanensis,Areceae,Arecoideae,0,0,1,canopy,1,10,12,0,0,,2,,,1,,,0.7,,,small,globose,red,,,,
Heterospathe sphaerocarpa,Heterospathe,sphaerocarpa,Areceae,Arecoideae,0,1,0,understorey,,0,,0,0,6,2,,,0.8,,,0.75,,,small,,,,,,
Heterospathe trispatha,Heterospathe,trispatha,Areceae,Arecoideae,0,0,1,understorey,1,3,5,0,0,8,0.7,,,1.2,,,0.8,,,small,ovoid,ripening yellow - red,,1,,
Heterospathe uniformis,Heterospathe,uniformis,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,2.2,,,1.00,,,small,,green to orange to red,,,,"Dupuyoo, J. ""Two Palms with Surprising Qualities."" PALMS-LAWRENCE- 5.4 (26): 179."
Heterospathe woodfordiana,Heterospathe,woodfordiana,Areceae,Arecoideae,0,0,1,understorey,1,4,,0,0,,,,,1.3,,,1,,,small,,,,,,
Howea belmoreana,Howea,belmoreana,Areceae,Arecoideae,0,0,1,canopy,1,12,15,0,0,18,5,4,,3.5,3,4,2.5,2,3,small,,brownish-red,glossy,,,
Howea forsteriana,Howea,forsteriana,Areceae,Arecoideae,0,0,1,canopy,1,25,15,0,0,18,5,4,,4,3,5,2.5,2,3,large,globose,bright or dull orange to red at maturity,,1,,
Hydriastele affinis,Hydriastele,affinis,Areceae,Arecoideae,0,0,1,,0,,,0,0,,,,,,,,,,,,globose,,,,,
Hydriastele aprica,Hydriastele,aprica,Areceae,Arecoideae,0,0,1,understorey,1,5,,0,0,7,0.23,0.62,0.18,0.8,,,0.7,,,small,globose,red,,,,palmpedia
Hydriastele beccariana,Hydriastele,beccariana,Areceae,Arecoideae,0,0,1,canopy,2,9,8,0,0,8,1.3,0.95,0.4,0.9,,,0.60,,,small,,red,,,,Kew herbaria
Hydriastele beguinii,Hydriastele,beguinii,Areceae,Arecoideae,0,0,1,canopy,1,15,3,0,0,,2,,0.92,1.5,,,1.1,,,small,globose,red,,,,palmpedia
Hydriastele biakensis,Hydriastele,biakensis,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,1.075,0.95,1.2,0.55,0.5,0.6,small,,red,,,,palmpedia
Hydriastele boumae,Hydriastele,boumae,Areceae,Arecoideae,0,0,1,canopy,1,32,28,0,0,,3,2.65,0.4,1.2,1,1.4,0.7,0.6,0.8,small,,yellowish white,,,,palmpedia
Hydriastele brassii,Hydriastele,brassii,Areceae,Arecoideae,0,0,1,canopy,1,15,10,0,0,11,1.85,,0.45,0.975,0.65,1.3,0.65,0.4,0.9,small,ovoid,bright red,,,,palmpedia
Hydriastele cariosa,Hydriastele,cariosa,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,globose,,,,,
Hydriastele carrii,Hydriastele,carrii,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,,,,,,
Hydriastele chaunostachys,Hydriastele,chaunostachys,Areceae,Arecoideae,0,0,1,canopy,1,30,35,0,0,15,3.85,,0.65,1.5,,,1,,,small,,red,,,,Kew herbaria
Hydriastele costata,Hydriastele,costata,Areceae,Arecoideae,0,0,1,canopy,1,35,40,0,0,15,4.5,4.5,0.55,0.85,0.7,1,0.48,0.45,0.5,small,,"blue-grey to deep maroon, with broad cream to pink longitudil markings, finally black","longitudinally fidged, smooth",,,"palmpedia, Kew herbaria"
Hydriastele cyclopensis,Hydriastele,cyclopensis,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,ovoid,,,,,
Hydriastele cylindrocarpa,Hydriastele,cylindrocarpa,Areceae,Arecoideae,0,0,1,canopy,1,27,15,0,0,18,2.75,2.5,0.33,1.25,1.2,1.3,0.55,0.5,0.6,small,ovoid,yellowish,,,,palmpedia
Hydriastele dransfieldii,Hydriastele,dransfieldii,Areceae,Arecoideae,0,0,1,canopy,1,10,12,0,0,10,3,2.35,0.28,1.8,,,1.2,,,small,globose,ripening through yellow to red when mature,,,,palmpedia
Hydriastele flabellata,Hydriastele,flabellata,Areceae,Arecoideae,0,0,1,understorey,0,5,2,0,0,8,0.4,0.3,0.3,1.35,1.2,1.5,0.65,0.5,0.8,small,ellipsoid,red,,,,Kew herbaria
Hydriastele geelvinkiana,Hydriastele,geelvinkiana,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,globose,,,,,
Hydriastele gibbsiana,Hydriastele,gibbsiana,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,0.85,,,0.7,,,small,ovoid,red,,,,Kew herbaria
Hydriastele gracilis,Hydriastele,gracilis,Areceae,Arecoideae,0,0,1,understorey,0,1.5,1,0,0,6,0.25,,0.12,,,,,,,,ovoid,,,,,
Hydriastele hombronii,Hydriastele,hombronii,Areceae,Arecoideae,0,0,1,canopy,1,20,28,0,0,20,1.8,1.8,0.33,1.55,1.4,1.7,0.63,0.6,0.65,small,ovoid,dull red,,,,palmpedia
Hydriastele kasesa,Hydriastele,kasesa,Areceae,Arecoideae,0,0,1,canopy,2,6,3.8,0,0,12,0.3,0.9,0.4,1.2,,,0.9,,,small,ovoid,red or scarlet,,,,palmpedia
Hydriastele kjellbergii,Hydriastele,kjellbergii,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,,,,,,
Hydriastele ledermanniana,Hydriastele,ledermanniana,Areceae,Arecoideae,0,0,1,,1,,,0,0,,,,,,,,,,,,,,,,,
Hydriastele lepidota,Hydriastele,lepidota,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,,,,,,
Hydriastele longispatha,Hydriastele,longispatha,Areceae,Arecoideae,0,0,1,canopy,1,24,25,0,0,19,2.5,2.3,0.22,1.00,0.7,1.3,0.65,0.4,0.9,small,globose,bright red,,,,palmpedia
Hydriastele lurida,Hydriastele,lurida,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,globose,,,,,
Hydriastele macrospadix,Hydriastele,macrospadix,Areceae,Arecoideae,0,0,1,canopy,1,40,25,0,0,25,1.95,1.45,0.55,1.4,1.2,1.6,0.8,,,small,globose,bright crimson,,,,palmpedia
Hydriastele manusii,Hydriastele,manusii,Areceae,Arecoideae,0,0,1,canopy,1,18,10,0,0,9,2,,,1.15,,,0.5,,,small,ovoid,,,,,
Hydriastele mayrii,Hydriastele,mayrii,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,ovoid,,,,,
Hydriastele micrantha,Hydriastele,micrantha,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,,,,,,
Hydriastele microcarpa,Hydriastele,microcarpa,Areceae,Arecoideae,0,0,1,canopy,2,8,15,0,0,17,2.2,1.9,0.33,1,,,0.3,,,small,ovoid,whitish,,,,palmpedia
Hydriastele microspadix,Hydriastele,microspadix,Areceae,Arecoideae,0,0,1,canopy,1,16.2,6.5,0,0,10,2.3,2.3,0.69,0.9,,,0.6,,,small,globose,dark red,,,,palmpedia
Hydriastele moluccana,Hydriastele,moluccana,Areceae,Arecoideae,0,0,1,canopy,1,55,30,0,0,,3.2,,,,,,,,,,globose,,,,,
Hydriastele montana,Hydriastele,montana,Areceae,Arecoideae,0,0,1,understorey,,1.5,0.8,0,0,5,0.15,0.38,0.08,1.5,1.2,1.9,0.4,,,small,fusiform,red,,,,
Hydriastele nannostachys,Hydriastele,nannostachys,Areceae,Arecoideae,0,0,1,understorey,,3,5,0,0,,,,,,,,,,,,,,,,,
Hydriastele oxypetala,Hydriastele,oxypetala,Areceae,Arecoideae,0,0,1,understorey,1,4.6,,0,0,,0.76,,0.33,0.8,,,0.4,,,small,elongate,,,,,
Hydriastele palauensis,Hydriastele,palauensis,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,,,,,,
Hydriastele pinangoides,Hydriastele,pinangoides,Areceae,Arecoideae,0,0,1,canopy,2,15,7.5,0,0,10,1.3,0.9,0.54,1.3,1,1.6,0.6,0.4,0.8,small,ellipsoid,"pink, red, purple or blackish",,,,"palmpedia, Kew herbaria"
Hydriastele pleurocarpa,Hydriastele,pleurocarpa,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,,yellow to orange to red,,,,palmpedia
Hydriastele procera,Hydriastele,procera,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,ovoid,,,,,
Hydriastele ramsayi,Hydriastele,ramsayi,Areceae,Arecoideae,0,0,1,canopy,1,30,35,0,0,12,2.5,1.7,0.92,1.5,,,0.8,,,small,ovoid,red,"smooth, glossy",,,
Hydriastele rheophytica,Hydriastele,rheophytica,Areceae,Arecoideae,0,0,1,canopy,0,6,2.5,0,0,12,1.2,0.8,0.3,0.65,0.6,0.7,,,,small,globose,red,,,,
Hydriastele rhopalocarpa,Hydriastele,rhopalocarpa,Areceae,Arecoideae,0,0,1,understorey,0,3,2,0,0,6,0.6,,0.33,1.3,,,0.7,,,small,ovoid,,,,,
Hydriastele rostrata,Hydriastele,rostrata,Areceae,Arecoideae,0,0,1,canopy,0,10,7.7,0,0,7,1.68,1.42,0.29,0.9,,,0.8,,,small,ovoid,,,,,
Hydriastele sarasinorum,Hydriastele,sarasinorum,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,,,,,,
Hydriastele selebica,Hydriastele,selebica,Areceae,Arecoideae,0,0,1,,2,,,0,0,,1.5,,,0.8,,,0.4,,,small,ovoid,,,,,
Hydriastele valida,Hydriastele,valida,Areceae,Arecoideae,0,0,1,canopy,1,20.5,20,0,0,22,2.45,2.45,0.45,1.1,,,0.7,,,small,ovoid,dark red to purple,,,,palmpedia
Hydriastele variabilis,Hydriastele,variabilis,Areceae,Arecoideae,0,0,1,canopy,0,8,4,0,0,7,1.4,1.1,0.3,1.1,1,1.2,0.7,0.63,0.78,small,globose,red,,,,
Hydriastele vitiensis,Hydriastele,vitiensis,Areceae,Arecoideae,0,0,1,canopy,1,25,30,0,0,20,2.5,,0.81,1,,,,,,small,globose,,,,,
Hydriastele wendlandiana,Hydriastele,wendlandiana,Areceae,Arecoideae,0,0,1,canopy,2,25,12,0,0,10,2.5,1.9,0.8,0.9,0.7,1.1,0.65,0.5,0.8,small,globose,"orange, purple or red",smooth,,,
Hyophorbe amaricaulis,Hyophorbe,amaricaulis,Chamaedoreeae,Arecoideae,0,0,1,canopy,1,6,14,0,0,6,1.4,,,3.8,,,3.4,3.3,3.5,small,globose,brown,,,,palmpedia
Hyophorbe indica,Hyophorbe,indica,Chamaedoreeae,Arecoideae,0,0,1,canopy,1,8,13,0,0,6,3,3,0.61,2.30,1.8,2.8,1.05,1,1.1,small,ovoid,green to yellow to red,,,,"palmpedia, Kew herbaria"
Hyophorbe lagenicaulis,Hyophorbe,lagenicaulis,Chamaedoreeae,Arecoideae,0,0,1,canopy,1,7,60,0,0,8,3.1,3,0.12,3.15,2.5,3.8,,,,small,globose,green to black,,,,palmpedia
Hyophorbe vaughanii,Hyophorbe,vaughanii,Chamaedoreeae,Arecoideae,0,0,1,canopy,1,10,12,0,0,5,,,,4,,,3.00,,,large,globose,brown,,,,Kew herbaria
Hyophorbe verschaffeltii,Hyophorbe,verschaffeltii,Chamaedoreeae,Arecoideae,0,0,1,canopy,1,12,45,0,0,10,3.1,3,0.12,2,,,0.90,,,small,ovoid,,,,,Kew herbaria
Hyospathe elegans,Hyospathe,elegans,Euterpeae,Arecoideae,0,0,1,canopy,2,8,8,0,0,11,2,1.1,,1.15,1,1.5,0.75,0.3,1.2,small,globose,black,,,Color change: inflorescence rachis becomes bright red in fruit,Henderson 24
Hyospathe frontinensis,Hyospathe,frontinensis,Euterpeae,Arecoideae,0,0,1,understorey,0,2.5,0.9,0,0,8,0.26,0.26,,0.9,0.8,1,0.61,0.59,0.63,small,,,,,Color change: inflorescence rachis becomes bright red in fruit,Henderson 24
Hyospathe macrorhachis,Hyospathe,macrorhachis,Euterpeae,Arecoideae,0,0,1,understorey,2,2,3,0,0,10,1.2,0.7,0.43,0.93,0.66,1.2,0.65,0.4,0.9,small,,black,,,Color change: inflorescence rachis becomes bright red in fruit. Stem: creeping.,Henderson 24
Hyospathe peruviana,Hyospathe,peruviana,Euterpeae,Arecoideae,0,0,1,,,,,0,0,,,,,0.875,0.8,0.95,0.71,0.68,0.73,small,,,,,Color change: inflorescence rachis becomes bright red in fruit,Henderson 24
Hyospathe wendlandiana,Hyospathe,wendlandiana,Euterpeae,Arecoideae,0,0,1,,,,,0,0,,,,,1.125,0.98,1.27,0.60,0.55,0.65,small,,,,,,Henderson 24
Hyphaene compressa,Hyphaene,compressa,Borasseae,Coryphoideae,0,0,1,canopy,2,20,40,0,1,15,1.5,2.5,1.25,8.5,7,10,6.5,5,8,large,,"orangey-brown to deep chestnut, rarely pale golden brown",,,,
Hyphaene coriacea,Hyphaene,coriacea,Borasseae,Coryphoideae,0,0,1,canopy,2,6,30,0,1,20,1.17,1.8,0.75,4.5,3,6,3.25,2.5,4,large,elongate,brown,,,,
Hyphaene dichotoma,Hyphaene,dichotoma,Borasseae,Coryphoideae,0,0,1,canopy,2,20,30,0,1,,,,,7,,,6,,,large,,brownish,,,,
Hyphaene guineensis,Hyphaene,guineensis,Borasseae,Coryphoideae,0,0,1,canopy,1,20,,0,1,,3.5,,1.55,5.75,5,6.5,6.50,6,7,large,globose,bright orange color to red-brown,,,,palmpedia
Hyphaene macrosperma,Hyphaene,macrosperma,Borasseae,Coryphoideae,0,0,1,,,,,0,1,,,,,7,,,6.00,,,large,,,,,,http://palms.myspecies.info/taxonomy/term/122
Hyphaene petersiana,Hyphaene,petersiana,Borasseae,Coryphoideae,0,0,1,canopy,1,20,35,0,1,25,0.75,,,6.5,5,8,5.5,5,7,large,globose,red-brown to chestnut,smooth,,,
Hyphaene reptans,Hyphaene,reptans,Borasseae,Coryphoideae,0,1,0,understorey,2,0,,0,1,,1,,,5,4,6,3,,,large,globose,reddish,,,,
Hyphaene thebaica,Hyphaene,thebaica,Borasseae,Coryphoideae,0,0,1,canopy,2,25,30,0,1,35,2,,0.45,6,,,5,,,large,globose,"shiny brown; orange brown, becomming darker brown with age",,,,
Iguanura ambigua,Iguanura,ambigua,Areceae,Arecoideae,0,0,1,understorey,,2.6,,0,0,,1.01,,,0.85,,,0.6,,,small,globose,white to red-orange and black-brown,,,,
Iguanura asli,Iguanura,asli,Areceae,Arecoideae,0,0,1,understorey,0,2.5,,0,0,,1.01,,,0.6,0.4,,,,,small,ovoid,pink,,,,palmpedia
Iguanura belumensis,Iguanura,belumensis,Areceae,Arecoideae,0,0,1,understorey,1,4,1.5,0,0,,1.01,,,,,,,,,,ovoid,white to pink to red,,,,palmpedia
Iguanura bicornis,Iguanura,bicornis,Areceae,Arecoideae,0,0,1,understorey,0,3,2.2,0,0,8,0.8,0.8,,2,,,1.8,,,small,globose,reddish,,,,
Iguanura borneensis,Iguanura,borneensis,Areceae,Arecoideae,0,0,1,understorey,2,1.5,1.5,0,0,,0.38,0.3,0.1,1,,,0.70,,,small,globose,red,,,,"palmpedia, Kew herbaria"
Iguanura cemurung,Iguanura,cemurung,Areceae,Arecoideae,0,0,1,,,,,0,0,,1.01,,,,,,,,,,globose,,,,,
Iguanura chaiana,Iguanura,chaiana,Areceae,Arecoideae,0,0,1,understorey,,3,2,0,0,,0.75,0.75,,,,,,,,,globose,,,,,
Iguanura corniculata,Iguanura,corniculata,Areceae,Arecoideae,0,0,1,understorey,,1.3,,0,0,,1.01,,,,,,,,,,ovoid,,,,,
Iguanura curvata,Iguanura,curvata,Areceae,Arecoideae,0,0,1,understorey,0,5,1.5,0,0,,2,2,,1.5,,,0.55,0.5,0.6,small,ovoid,green to white to red,,,,palmpedia
Iguanura diffusa,Iguanura,diffusa,Areceae,Arecoideae,0,0,1,,,,,0,0,,1.01,,,,,,,,,,ovoid,,,,,
Iguanura divergens,Iguanura,divergens,Areceae,Arecoideae,0,0,1,understorey,0,3,3.5,0,0,7,1.3,1.3,,,,,,,,,,green to red,,,,palmpedia
Iguanura elegans,Iguanura,elegans,Areceae,Arecoideae,0,0,1,understorey,2,2,2,0,0,,1.2,0.95,0.12,0.85,,,0.6,,,small,ovoid,red,,,,palmpedia
Iguanura geonomiformis,Iguanura,geonomiformis,Areceae,Arecoideae,0,0,1,understorey,2,4,2.5,0,0,8,1,1,0.22,2,,,1,,,small,globose,maturing white to red,,1,,
Iguanura humilis,Iguanura,humilis,Areceae,Arecoideae,0,0,1,understorey,,1,,0,0,7,1.01,,,1,,,0.60,,,small,ovoid,green?,,,,Kew herbaria
